Applicability,Service,Reporting period,Indicator,Value
All,,YYYY-MM-DD/YYYY-MM-DD,Summary of the content moderation engaged in at the providers’ own initiative,Free text
All,,YYYY-MM-DD/YYYY-MM-DD,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,Free text
All,,YYYY-MM-DD/YYYY-MM-DD,Qualitative description of the automated means,Free text
All,,YYYY-MM-DD/YYYY-MM-DD,Qualitative description of indicators of accuracy and possible rate of error of automated means,Free text
All,,YYYY-MM-DD/YYYY-MM-DD,Specification of the precise purposes to apply automated means,Free text
All,,YYYY-MM-DD/YYYY-MM-DD,Safeguards applied to the use of automated means,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,High-level description of the content moderation governance structure,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation ,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Methodology used to compute the number of human resources dedicated to content moderation  ,Free text
